EG-CHP-MX1
2022-01-15T01:27:45.146965Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:27:38.039232Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:27:25.945734Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:27:24.925864Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:27:15.528495Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:27:06.050812Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:25:48.299191Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:25:38.337017Z - Ethernet port carrier change - {'device': 'port3', 'carrier': 'true'}
2022-01-15T01:25:38.336854Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:25:38.336664Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-15T01:24:56.268750Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:24:50.319497Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:24:23.966934Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:23:54.152753Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:22:25.400110Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:22:09.134067Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:21:59.424962Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:21:53.997281Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:21:51.617331Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:21:44.380225Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:21:41.204910Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:20:59.780617Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:20:49.242027Z - Ethernet port carrier change - {'device': 'port3', 'carrier': 'true'}
2022-01-15T01:20:49.240525Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:20:49.239017Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-15T01:20:11.758562Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:19:44.284914Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:19:32.237297Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:19:05.433672Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:18:57.577115Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:18:51.779742Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:18:46.864913Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:18:37.342355Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:18:37.084791Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:18:32.306986Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:17:41.923418Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:17:29.880783Z - Ethernet port carrier change - {'device': 'port3', 'carrier': 'true'}
2022-01-15T01:17:29.879234Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:17:29.877713Z - Ethernet port carrier change - {'device': 'port1', 'carrier': 'true'}
2022-01-15T01:16:54.117161Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:16:30.787725Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:16:25.460791Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:16:12.801445Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:16:03.475022Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:15:45.341078Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:15:16.685412Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:15:01.343795Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:15:00.979959Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'true'}
2022-01-15T01:13:59.473861Z - Ethernet port carrier change - {'device': 'port2', 'carrier': 'false'}
2022-01-15T01:13:48.456670Z - Ethernet port carrier change - {'device': 'port3', 'carrier': 'true'}
