hostname,version
PS-Stafford-SW1,15.2(7)E2
PS-SantaFe-SW2,15.2(5c)E
PS-Sharonville-SW1,15.2(6)E
PS-Syracuse-SW1,15.2(5c)E
PS-BrokenArrow-SW1,15.2(7)E2
PS-Seattle-SW1,15.2(5c)E
PS-TippCity-SW1,15.2(5c)E
PS-Trevose-SW1,15.2(7)E2
PS-Tyngsboro-SW1,15.2(5c)E
PS-Tyngsboro-SW2,15.2(5c)E
PS-Winchester-SW1,15.2(5c)E
PS-Brampton-SW1,15.2(5c)E
PS-Brampton-SW2,15.2(5c)E
PS-Calgary-SW1,15.2(5c)E
PS-Dartmouth-SW1,15.2(6)E
PS-Coquitlam-SW1,15.2(7)E2
PS-Dorval-SW1,15.2(7)E2
PS-London-SW1,15.2(7)E2
PS-Edmonton-SW1,15.2(6)E
PS-Winnipeg-SW1,15.2(7)E2
PS-Apodaca-SW1,15.2(7)E2
PS-Chihuahua-SW1,15.2(7)E2
PS-Naucalpan-SW1,15.2(5c)E
PS-Iztacalco-SW1,15.2(7)E2
PS-MexicoCity-SW1,15.2(7)E2
PS-Zapopan-SW1,15.2(6)E
PS-Naucalpan-SW2,15.2(5c)E
PS-SanFrancisco-SW1,15.2(6)E2b
PS-Santiago-SW1,15.2(5c)E
PS-Santiago-SW1-3,15.2(5c)E
PS-Santiago-SW1-2,15.2(5c)E
PS-Queretaro-SW1,15.2(6)E2b
PS-Irapuato-SW1,15.2(6)E2b
PS-Celaya-SW1,15.2(6)E2b
PS-Concepcion-SW1,15.2(5c)E
PS-Troje-SW1,15.2(6)E
PA-Montreal-CNC-SW1,15.2(7)E4
PA-Quebec-Office-SW1,15.2(7)E4
PA-Montreal-Cutting-SW1,15.2(7)E4
PA-Quebec-Office-SW3,15.2(7)E4
PA-Quebec-Office-SW2,15.2(7)E4
PA-Quebec-Office-SW4,15.2(7)E4
PA-Quebec-Shop-SW1,15.2(7)E4
PA-Quebec-CNC-SW1,15.2(7)E4
PA-Quebec-MEP-SW1,15.2(7)E4
PA-Quebec-Cutting-SW1,15.2(7)E4
PA-Quebec-IT-SW1,15.2(7)E4
PA-Quebec-Receiving-SW1,15.2(7)E4
TP-FortWayne-SW1,16.9.4
TP-Pittsburgh-SW1,16.9.4
TP-Knoxville-SW1,16.9.4
TP-PMC-SW1,16.9.4
TP-Tampa-SW1,16.9.4
TP-Cleveland-SW1,16.9.4
TP-Harrisburg-SW1,16.9.4
TP-Chicago-SW1,16.9.4
TP-Indianapolis-SW1,16.9.4
TP-Detroit-SW1,16.9.4
TP-Bensalem-SW1,16.9.4
TP-Bensalem-SW2,16.9.4
TP-EP-SW1,15.2(7)E7
PS-Film-SW1,15.2(7)E5
TP-Baltimore-SW1,16.9.4
TP-NewYork-SW1,16.9.4
EMP-Dartmouth-SW1,15.2(7)E4
TP-GrandRapids-Core-SW1,16.6.4a
TP-Kalamazoo-Stack-SW1,15.2(4)E3
TP-Kalamazoo-WH-SW1,16.9.4
TP-Kalamazoo-Core-SW1,16.3.7
TP-Kalamazoo-Fab-SW1,16.9.4
TP-GrandRapids-WH-SW1,16.9.4
TP-Kalamazoo-Main-SW2,16.9.4
TP-Kalamazoo-Rod-SW1,16.9.4
TP-Kalamazoo-Main-SW1,16.9.4
